Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Trade - Buy - (Native - Native),Chrome 102.0.5005.115,,,2022-06-16 16:59:44,2022-06-16 17:00:25,"41,100s",PASSED
,,,,,,,
Test Cases/TC - Login,Chrome 102.0.5005.115,,,2022-06-16 16:59:44,2022-06-16 16:59:58,"13,898s",PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-16 16:59:45,2022-06-16 16:59:48,"2,823s",PASSED
"navigateToUrl(""https://demo.membrane.trade/sign-in/sign-in?skipCaptcha"")",Chrome 102.0.5005.115,,,2022-06-16 16:59:48,2022-06-16 16:59:52,"3,904s",PASSED
"setText(findTestObject(""Object Repository/sign_in/input_email""), ""testinga13@membrane.trade"")",Chrome 102.0.5005.115,,,2022-06-16 16:59:52,2022-06-16 16:59:54,"2,747s",PASSED
"setEncryptedText(findTestObject(""Object Repository/sign_in/input_password""), ""4QAB1q7oUv9VprcK01p93A9bWbgBFWRH2qSTlN87QmniU9Gka11DSA=="")",Chrome 102.0.5005.115,,,2022-06-16 16:59:54,2022-06-16 16:59:55,"0,671s",PASSED
"click(findTestObject(""Object Repository/sign_in/button_Next""))",Chrome 102.0.5005.115,,,2022-06-16 16:59:55,2022-06-16 16:59:55,"0,432s",PASSED
"setText(findTestObject(""Object Repository/sign_in/input_token""), ""111111"")",Chrome 102.0.5005.115,,,2022-06-16 16:59:55,2022-06-16 16:59:58,"2,293s",PASSED
"click(findTestObject(""Object Repository/sign_in/button_Next""))",Chrome 102.0.5005.115,,,2022-06-16 16:59:58,2022-06-16 16:59:58,"0,520s",PASSED
,,,,,,,
Test Cases/TC - Buy - (Native - Native),Chrome 102.0.5005.115,,,2022-06-16 16:59:58,2022-06-16 17:00:21,"22,888s",PASSED
"click(findTestObject(""header/buy_sell""))",Chrome 102.0.5005.115,,,2022-06-16 16:59:59,2022-06-16 17:00:09,"9,971s",PASSED
"click(findTestObject(""trades/button_Inbox""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:09,2022-06-16 17:00:10,"1,129s",PASSED
"click(findTestObject(""trades/button_Outbox""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:10,2022-06-16 17:00:11,"0,421s",PASSED
"click(findTestObject(""trades/button_Accepted""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:11,2022-06-16 17:00:12,"1,190s",PASSED
"click(findTestObject(""trades/button_History""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:12,2022-06-16 17:00:13,"1,490s",PASSED
"click(findTestObject(""trades/button_Create New Order""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:13,2022-06-16 17:00:14,"1,224s",PASSED
"click(findTestObject(""trades/button_Buy""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:14,2022-06-16 17:00:15,"1,014s",PASSED
"setText(findTestObject(""trades/input_quantity""), ""0.1"")",Chrome 102.0.5005.115,,,2022-06-16 17:00:15,2022-06-16 17:00:17,"1,430s",PASSED
"setText(findTestObject(""trades/input_unit_prince""), ""1"")",Chrome 102.0.5005.115,,,2022-06-16 17:00:17,2022-06-16 17:00:18,"0,994s",PASSED
"setText(findTestObject(""trades/input_expiration""), ""1"")",Chrome 102.0.5005.115,,,2022-06-16 17:00:18,2022-06-16 17:00:19,"0,932s",PASSED
"click(findTestObject(""trades/open_modal_counterparty""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:19,2022-06-16 17:00:19,"0,549s",PASSED
"click(findTestObject(""trades/select_chavo""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:19,2022-06-16 17:00:20,"0,585s",PASSED
"click(findTestObject(""trades/close_modal_counterparty""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:20,2022-06-16 17:00:21,"0,537s",PASSED
"click(findTestObject(""trades/create_order""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:21,2022-06-16 17:00:21,"0,565s",PASSED
,,,,,,,
Test Cases/TC - Logout,Chrome 102.0.5005.115,,,2022-06-16 17:00:21,2022-06-16 17:00:25,"3,965s",PASSED
"click(findTestObject(""menu_right/menu_user""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:22,2022-06-16 17:00:24,"1,904s",PASSED
"click(findTestObject(""menu_right/logout""))",Chrome 102.0.5005.115,,,2022-06-16 17:00:24,2022-06-16 17:00:24,"0,812s",PASSED
closeBrowser(),Chrome 102.0.5005.115,,,2022-06-16 17:00:24,2022-06-16 17:00:25,"0,745s",PASSED
